domain,title,url
www.spectator.com.au,,https://www.spectator.com.au/2020/05/dis-con-notes-22/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/unbreakable/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/listen-to-adam-smith-not-the-abc/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/chinas-frankenstein-virus/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/colonel-mustard-breaks-free-of-his-invisible-shackles/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/return-of-the-coal-fired-poltergeist/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/lathams-law-66/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/blacklisting-sceptics/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/globalism-is-dead/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/the-truth-is-out-there/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/the-charge-of-the-recognition-brigade/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/bye-bye-holden-meat-pies/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/brown-study-158/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/we-could-be-a-superpower-too/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/simon-collins-70/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/hands-on-the-scales-of-aboriginal-affairs/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/mh370-the-lead-that-vanished/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/trent-dalton/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/to-boris-from-down-under/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/australian-notes-173/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/harvey-wallbanger/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/china-fails-the-virus-test/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/60-minutes-of-shlock/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/tony-abbott-pm/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/allow-us-to-check-your-thinking/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/des-moines-diary/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/business-robbery-etc-39/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/net-zero-credibility/
www.spectator.com.au,,https://www.spectator.com.au/2020/02/brown-study-159/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/simon-collins-75/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/can-morrison-emulate-our-forgotten-conservative-hero/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/was-three-red-monkeys/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/lathams-law-63/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/get-back-to-where-we-once-belonged/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/trumps-clean-sweep/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/selling-beijing-the-rope/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/dame-mary-gilmore-working-from-home-in-1952/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/maori-roadblocks/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/business-robbery-etc-44/
www.spectator.com.au,,https://www.spectator.com.au/2020/03/david-williamson/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/euro-notes-4/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/sco-vs-mo/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/covid-19-and-the-creeping-state/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/churchill-in-reverse/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/chinas-pantry/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/professor-lockdown-and-the-hypocrisy-of-the-elites/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/euro-notes-5/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/gum-stuck-to-the-bottom-of-chinas-shoe/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/dr-faucis-diabolical-deal/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/dis-con-notes-21/
www.spectator.com.au,,https://www.spectator.com.au/2020/05/the-fbis-tinpot-sting-operation/
www.spectator.com.au,,https://www.spectator.com.au/2013/05/terra-nullius/
www.spectator.com.au,,https://www.spectator.com.au/2013/08/leader-2/
www.spectator.com.au,,https://www.spectator.com.au/2013/05/one-sided-story/
www.spectator.com.au,,https://www.spectator.com.au/2013/08/brown-study-64/
www.spectator.com.au,,https://www.spectator.com.au/2013/07/8961441/
www.spectator.com.au,,https://www.spectator.com.au/2013/08/in-the-bunker/
www.spectator.com.au,,https://www.spectator.com.au/2013/10/brown-study-75/
www.spectator.com.au,,https://www.spectator.com.au/2013/08/silencing-climate-change-dissenters/
www.spectator.com.au,,https://www.spectator.com.au/2013/11/the-way-it-was/
www.spectator.com.au,,https://www.spectator.com.au/2013/11/australian-notes-101/
www.spectator.com.au,,https://www.spectator.com.au/2013/12/notes-from-a-media-tart/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/leave-plenty-to-the-imagination/
www.spectator.com.au,,https://www.spectator.com.au/2014/01/australian-notes-96/
www.spectator.com.au,,https://www.spectator.com.au/2014/01/tony-is-soft-on-crime/
www.spectator.com.au,,https://www.spectator.com.au/2014/01/sound-military-history-2/
www.spectator.com.au,,https://www.spectator.com.au/2014/01/notes-from-a-gap-year-2/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/creative-destruction/
www.spectator.com.au,,https://www.spectator.com.au/2014/03/politics-is-not-a-blood-sport/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/terror-australis/
www.spectator.com.au,,https://www.spectator.com.au/2014/03/australian-notes-90/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/on-the-contrary-3/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/australian-notes-201/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/diary-653/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/australian-notes-92/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/on-the-contrary-18/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/on-the-contrary-11/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/brown-study-91/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/dont-mention-the-war-3/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/american-notes/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/on-the-contrary-4/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/australian-notes-202/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/academics-against-the-don/
www.spectator.com.au,,https://www.spectator.com.au/2014/03/australian-notebook-2/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/diary-654/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/breaking-windows/
www.spectator.com.au,,https://www.spectator.com.au/2014/03/diary-655/
www.spectator.com.au,,https://www.spectator.com.au/2014/02/australian-notes-91/
www.spectator.com.au,,https://www.spectator.com.au/2014/03/australian-notes-203/
www.spectator.com.au,,https://www.spectator.com.au/2014/03/notes-of-a-diplomat/
